1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorchSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
864.0,0.0,3.0,Av,460.0,BLQ,404.0,31.6,338.0,Unf,1972.0,864.0,TA,15523.0,36.0,0.0,0.0,6.0,5.0,864.0,6.6,1972.0,1972.0,133500.0
798.0,546.0,3.0,No,0.0,Unf,546.0,65.6,0.0,None,1953.0,1344.0,TA,1533.0,21.0,0.0,0.0,6.0,4.0,546.0,65.6,1970.0,2008.0,97000.0
1580.0,0.0,3.0,No,0.0,Unf,1580.0,44.8,830.0,RFn,2008.0,1580.0,Gd,11932.0,92.0,186.0,24.0,5.0,8.0,1580.0,77.0,2007.0,2008.0,235128.0
960.0,780.0,3.0,No,410.0,BLQ,390.0,141.6,240.0,Unf,1940.0,1740.0,TA,13125.0,75.0,0.0,0.0,6.0,7.0,800.0,73.2,1940.0,1984.0,219500.0
1530.0,0.0,3.0,Av,1300.0,GLQ,230.0,0.0,630.0,Fin,2004.0,1530.0,Gd,14572.0,182.0,0.0,36.0,5.0,7.0,1530.0,144.0,2004.0,2004.0,259000.0
1114.0,0.0,4.0,No,814.0,GLQ,300.0,0.0,576.0,Unf,2004.0,1114.0,Gd,13695.0,66.0,0.0,78.0,5.0,6.0,1114.0,116.2,2003.0,2004.0,155000.0
1500.0,0.0,3.0,Av,1070.0,GLQ,286.0,28.8,648.0,Fin,2006.0,1500.0,Gd,4045.0,53.0,45.0,20.0,5.0,7.0,1356.0,131.4,2006.0,2006.0,246578.0
810.0,855.0,3.0,No,643.0,GLQ,167.0,44.8,528.0,Fin,2001.0,1665.0,Gd,8400.0,70.0,0.0,45.0,6.0,8.0,810.0,37.6,2001.0,2001.0,227000.0
1246.0,1044.0,4.0,No,0.0,Unf,777.0,48.8,560.0,Unf,1971.0,2290.0,TA,11340.0,60.0,0.0,0.0,6.0,4.0,777.0,0.0,1885.0,1950.0,122500.0
616.0,0.0,2.0,No,616.0,LwQ,0.0,140.4,205.0,Unf,1921.0,616.0,TA,6000.0,50.0,0.0,0.0,7.0,5.0,616.0,65.6,1921.0,1950.0,89000.0
1392.0,0.0,3.0,No,1040.0,Rec,352.0,0.0,458.0,RFn,1957.0,1392.0,TA,11900.0,80.0,387.0,0.0,5.0,6.0,1392.0,0.0,1957.0,1957.0,166000.0
1161.0,808.0,3.0,No,0.0,Unf,808.0,0.0,534.0,RFn,1977.0,1969.0,TA,11952.0,92.0,0.0,0.0,6.0,7.0,808.0,98.4,1977.0,1977.0,190000.0
1316.0,0.0,3.0,Av,0.0,ALQ,1316.0,37.0,440.0,Fin,2007.0,1316.0,Gd,11175.0,103.0,0.0,20.0,5.0,7.0,1316.0,138.6,2007.0,2007.0,200141.0
2053.0,1185.0,4.0,Av,816.0,BLQ,1217.0,0.0,666.0,Fin,1996.0,3238.0,Gd,14720.0,56.0,579.0,86.0,5.0,8.0,2033.0,193.0,1995.0,1996.0,410000.0
698.0,560.0,2.0,Mn,204.0,Rec,356.0,27.6,280.0,Unf,1939.0,1258.0,TA,9060.0,60.0,0.0,0.0,5.0,6.0,560.0,39.2,1939.0,1950.0,105000.0
1073.0,0.0,2.0,No,0.0,Unf,1073.0,0.0,326.0,Unf,1968.0,1073.0,TA,5400.0,60.0,0.0,0.0,6.0,5.0,1073.0,39.2,1921.0,1968.0,108480.0
943.0,933.0,4.0,No,442.0,ALQ,459.0,0.0,540.0,RFn,1974.0,1876.0,Gd,9120.0,76.0,270.0,69.0,6.0,6.0,901.0,7.2,1974.0,1974.0,185000.0
1253.0,0.0,3.0,No,0.0,Unf,1237.0,0.0,402.0,Fin,1995.0,1253.0,TA,7875.0,63.0,38.0,21.0,5.0,7.0,1237.0,64.0,1995.0,1996.0,176000.0
907.0,0.0,3.0,No,288.0,Rec,619.0,0.0,352.0,Unf,1964.0,907.0,TA,8593.0,77.0,0.0,0.0,6.0,4.0,907.0,39.2,1957.0,1957.0,109008.0
1200.0,0.0,1.0,Mn,661.0,GLQ,203.0,0.0,884.0,Unf,1977.0,1200.0,Gd,9230.0,71.0,166.0,64.0,8.0,5.0,864.0,257.6,1965.0,1998.0,146000.0
950.0,208.0,3.0,No,0.0,Unf,862.0,48.8,208.0,RFn,1929.0,1158.0,TA,6000.0,50.0,0.0,0.0,7.0,6.0,862.0,39.2,1929.0,1950.0,120000.0
1454.0,482.0,3.0,No,0.0,Unf,1406.0,44.8,504.0,RFn,2000.0,1936.0,Gd,11194.0,106.0,40.0,124.0,5.0,8.0,1406.0,188.0,2000.0,2000.0,230500.0
1614.0,0.0,3.0,Av,20.0,GLQ,1594.0,88.0,865.0,RFn,2005.0,1614.0,Gd,11210.0,86.0,240.0,59.0,5.0,7.0,1614.0,57.6,2005.0,2006.0,221500.0
1163.0,511.0,4.0,Mn,0.0,Unf,1163.0,29.0,396.0,Fin,1955.0,1674.0,TA,21780.0,66.0,0.0,36.0,7.0,6.0,1163.0,101.6,1918.0,1950.0,185000.0
1048.0,0.0,3.0,None,0.0,None,0.0,65.6,420.0,Unf,1950.0,1048.0,TA,7200.0,60.0,0.0,27.0,5.0,5.0,0.0,65.6,1950.0,1950.0,98300.0
992.0,873.0,3.0,No,735.0,GLQ,257.0,44.8,839.0,Unf,2000.0,1865.0,Gd,10316.0,69.0,0.0,184.0,5.0,7.0,992.0,77.0,2000.0,2000.0,235000.0
729.0,0.0,2.0,No,0.0,Unf,270.0,75.4,0.0,Fin,1948.0,729.0,TA,4130.0,56.0,0.0,0.0,6.0,3.0,270.0,0.0,1935.0,2003.0,52000.0
1940.0,0.0,3.0,Av,1646.0,GLQ,284.0,0.0,606.0,Fin,2010.0,1940.0,Ex,10159.0,83.0,450.0,95.0,5.0,9.0,1930.0,193.0,2009.0,2010.0,395192.0
927.0,988.0,3.0,Mn,789.0,GLQ,119.0,44.8,506.0,Fin,1992.0,1915.0,Gd,10041.0,80.0,0.0,150.0,5.0,8.0,908.0,102.0,1992.0,1992.0,220000.0
885.0,833.0,3.0,No,0.0,Unf,832.0,0.0,427.0,Fin,1998.0,1718.0,TA,10141.0,74.0,40.0,94.0,5.0,7.0,832.0,7.2,1998.0,1998.0,185000.0
1148.0,0.0,3.0,No,1148.0,BLQ,0.0,31.6,672.0,Unf,1959.0,1148.0,TA,7931.0,70.0,0.0,0.0,5.0,5.0,1148.0,148.6,1959.0,1959.0,132500.0
1095.0,844.0,3.0,Mn,0.0,Unf,1095.0,28.8,1053.0,RFn,2006.0,1939.0,Gd,10728.0,84.0,0.0,51.0,5.0,8.0,1095.0,233.2,2006.0,2006.0,266000.0
1214.0,1306.0,4.0,No,565.0,GLQ,638.0,0.0,721.0,Fin,1995.0,2520.0,Gd,9950.0,82.0,290.0,114.0,5.0,7.0,1203.0,261.2,1995.0,1995.0,290000.0
1069.0,0.0,2.0,No,360.0,ALQ,709.0,76.0,440.0,RFn,1977.0,1069.0,TA,4043.0,53.0,0.0,55.0,5.0,6.0,1069.0,118.4,1977.0,1977.0,127500.0
838.0,0.0,2.0,Mn,210.0,Rec,0.0,58.8,275.0,Fin,1961.0,838.0,Fa,10267.0,55.0,0.0,0.0,7.0,6.0,816.0,44.4,1918.0,2000.0,130000.0
2069.0,0.0,4.0,Gd,425.0,GLQ,160.0,0.0,505.0,RFn,1960.0,2069.0,Gd,27650.0,313.0,0.0,0.0,7.0,7.0,585.0,131.4,1960.0,2007.0,242000.0
842.0,630.0,3.0,Mn,0.0,Unf,702.0,76.0,250.0,Unf,1925.0,1472.0,Gd,9600.0,60.0,0.0,0.0,8.0,5.0,702.0,0.0,1925.0,1994.0,125000.0
820.0,523.0,3.0,No,0.0,Unf,731.0,0.0,186.0,Unf,1921.0,1343.0,TA,7681.0,54.0,0.0,0.0,6.0,5.0,731.0,108.8,1921.0,1950.0,154900.0
988.0,0.0,3.0,No,534.0,BLQ,246.0,48.8,276.0,Unf,1950.0,988.0,TA,7200.0,60.0,0.0,80.0,7.0,5.0,876.0,39.2,1950.0,1950.0,119000.0
1728.0,0.0,4.0,No,1606.0,ALQ,122.0,0.0,560.0,Unf,1976.0,1728.0,TA,9297.0,63.0,0.0,0.0,5.0,5.0,1728.0,98.4,1976.0,1976.0,188000.0
816.0,0.0,2.0,No,816.0,BLQ,0.0,0.0,816.0,Fin,1985.0,816.0,TA,6600.0,60.0,0.0,0.0,8.0,5.0,816.0,224.6,1982.0,2003.0,138000.0
887.0,1134.0,3.0,No,0.0,Unf,868.0,0.0,422.0,RFn,2006.0,2021.0,Gd,23257.0,168.0,0.0,100.0,5.0,7.0,868.0,0.0,2006.0,2006.0,274725.0
960.0,0.0,0.0,Av,648.0,GLQ,0.0,0.0,364.0,Unf,1965.0,960.0,TA,10246.0,81.2,0.0,0.0,9.0,4.0,648.0,257.6,1965.0,2001.0,145000.0
1294.0,0.0,3.0,No,1200.0,GLQ,78.0,0.0,496.0,RFn,1991.0,1294.0,Gd,7153.0,52.2,88.0,51.0,5.0,6.0,1278.0,40.0,1991.0,1991.0,179200.0
848.0,0.0,1.0,Av,685.0,GLQ,163.0,0.0,420.0,Fin,2003.0,848.0,Gd,4435.0,55.2,170.0,0.0,5.0,6.0,848.0,264.0,2003.0,2004.0,144000.0
1038.0,1060.0,2.0,Mn,0.0,Unf,1030.0,28.8,878.0,RFn,2005.0,2098.0,Ex,10240.0,80.0,178.0,52.0,5.0,8.0,1030.0,261.2,2005.0,2005.0,275500.0
1800.0,0.0,3.0,Gd,1274.0,GLQ,526.0,0.0,765.0,Fin,2002.0,1800.0,Gd,14331.0,85.0,630.0,78.0,5.0,8.0,1800.0,186.6,2002.0,2002.0,312500.0
1072.0,504.0,3.0,Gd,1309.0,GLQ,15.0,88.0,528.0,RFn,1923.0,1576.0,Gd,21384.0,144.0,0.0,312.0,6.0,5.0,1324.0,37.6,1923.0,2004.0,223500.0
1680.0,0.0,4.0,No,0.0,Unf,1680.0,31.6,528.0,Unf,1976.0,1680.0,TA,11500.0,82.2,164.0,0.0,6.0,5.0,1680.0,83.2,1976.0,1976.0,136905.0
1125.0,0.0,2.0,Av,631.0,ALQ,410.0,76.0,352.0,Unf,1977.0,1125.0,TA,7200.0,72.0,255.0,0.0,6.0,6.0,1041.0,296.0,1976.0,1976.0,125000.0
1795.0,0.0,2.0,Av,0.0,Unf,1795.0,0.0,895.0,RFn,2007.0,1795.0,Gd,9986.0,75.0,428.0,49.0,5.0,8.0,1795.0,257.6,2006.0,2007.0,147000.0
912.0,1215.0,4.0,Mn,48.0,BLQ,422.0,0.0,833.0,RFn,1991.0,2127.0,Gd,13125.0,103.0,0.0,192.0,5.0,7.0,1104.0,137.0,1991.0,1991.0,238000.0
1968.0,1479.0,4.0,Mn,192.0,Rec,536.0,0.0,1014.0,RFn,1982.0,3447.0,Gd,14100.0,87.2,632.0,12.0,9.0,8.0,728.0,193.0,1935.0,1997.0,381000.0
697.0,804.0,3.0,No,518.0,ALQ,179.0,0.0,420.0,Fin,1993.0,1501.0,Gd,7685.0,75.4,112.0,63.0,5.0,6.0,697.0,0.0,1993.0,1994.0,165600.0
1012.0,0.0,2.0,No,0.0,Unf,1012.0,0.0,308.0,Unf,1920.0,1012.0,TA,8263.0,59.0,0.0,22.0,5.0,6.0,1012.0,39.2,1920.0,1950.0,118400.0
1700.0,0.0,3.0,Av,340.0,GLQ,1342.0,0.0,544.0,RFn,2003.0,1700.0,Gd,9135.0,70.0,120.0,23.0,5.0,6.0,1682.0,166.4,2003.0,2003.0,200000.0
800.0,832.0,4.0,No,400.0,GLQ,336.0,0.0,484.0,Unf,1966.0,1632.0,Gd,9130.0,66.4,252.0,40.0,8.0,6.0,800.0,64.0,1966.0,2000.0,173000.0
630.0,0.0,1.0,Av,553.0,GLQ,77.0,83.2,0.0,None,1968.0,630.0,Ex,1533.0,21.0,0.0,0.0,7.0,5.0,630.0,65.6,1970.0,1970.0,92000.0
1269.0,0.0,3.0,No,374.0,BLQ,363.0,0.0,308.0,Unf,1964.0,1269.0,TA,7931.0,70.0,0.0,0.0,6.0,5.0,1269.0,108.8,1960.0,1960.0,155000.0
1310.0,0.0,3.0,Av,24.0,GLQ,1286.0,0.0,400.0,Fin,2005.0,1310.0,Gd,8767.0,65.0,0.0,0.0,5.0,7.0,1310.0,0.0,2005.0,2005.0,164990.0
1268.0,0.0,2.0,No,540.0,LwQ,728.0,58.8,244.0,Fin,1954.0,1268.0,TA,7800.0,78.0,200.0,98.0,6.0,5.0,1268.0,74.0,1954.0,1954.0,132000.0
2259.0,0.0,3.0,Mn,35.0,Unf,905.0,141.6,450.0,Unf,1953.0,2259.0,Gd,21000.0,77.2,184.0,120.0,5.0,6.0,1809.0,44.4,1953.0,1953.0,217000.0
1566.0,0.0,3.0,Av,1078.0,GLQ,488.0,0.0,750.0,RFn,2008.0,1566.0,Gd,9000.0,75.0,36.0,168.0,5.0,8.0,1566.0,233.2,2008.0,2008.0,262500.0
858.0,858.0,4.0,No,319.0,Rec,539.0,0.0,490.0,Fin,1962.0,1716.0,TA,9247.0,70.0,318.0,84.0,6.0,6.0,858.0,44.0,1962.0,1962.0,171000.0
1489.0,0.0,3.0,No,0.0,Unf,1489.0,0.0,462.0,RFn,1968.0,1489.0,Gd,9156.0,78.2,0.0,0.0,7.0,6.0,1489.0,7.2,1968.0,1968.0,185750.0
1149.0,1141.0,4.0,Mn,0.0,Unf,1128.0,28.8,779.0,Unf,2002.0,2290.0,Gd,11250.0,80.0,0.0,0.0,5.0,8.0,1128.0,270.2,2002.0,2002.0,255900.0
1088.0,441.0,4.0,None,0.0,None,0.0,65.6,240.0,Unf,1945.0,1529.0,TA,8405.0,50.0,0.0,0.0,3.0,4.0,0.0,65.6,1945.0,1950.0,98000.0
1279.0,0.0,3.0,No,641.0,ALQ,276.0,0.0,473.0,Unf,1980.0,1279.0,TA,10125.0,75.0,0.0,83.0,6.0,6.0,1196.0,44.0,1977.0,1977.0,171500.0
1440.0,1440.0,8.0,No,256.0,LwQ,1184.0,37.0,0.0,None,1990.0,3395.0,Fa,10896.0,60.0,0.0,110.0,7.0,6.0,1440.0,138.6,1914.0,1995.0,200000.0
1080.0,0.0,3.0,No,680.0,GLQ,400.0,0.0,0.0,None,1960.0,1080.0,Gd,7500.0,63.0,120.0,0.0,5.0,7.0,1080.0,200.0,2004.0,2005.0,141000.0
1080.0,672.0,4.0,Av,427.0,GLQ,132.0,0.0,492.0,RFn,1988.0,1752.0,TA,12134.0,152.0,0.0,12.0,7.0,8.0,559.0,0.0,1988.0,2005.0,164000.0
760.0,896.0,3.0,No,0.0,Unf,746.0,0.0,397.0,Fin,2003.0,1656.0,Gd,6931.0,60.0,92.0,128.0,5.0,7.0,746.0,0.0,2003.0,2004.0,165400.0
663.0,689.0,4.0,No,371.0,ALQ,292.0,0.0,299.0,Fin,1969.0,1352.0,TA,9364.0,80.0,143.0,36.0,7.0,6.0,663.0,50.4,1969.0,1969.0,158000.0
1040.0,0.0,3.0,Mn,532.0,LwQ,364.0,0.0,484.0,Unf,1977.0,1040.0,Gd,8800.0,61.0,0.0,0.0,7.0,5.0,1040.0,268.0,1977.0,2008.0,150500.0
929.0,929.0,5.0,No,0.0,Unf,755.0,27.6,0.0,None,1946.0,2229.0,TA,5520.0,92.0,0.0,198.0,6.0,6.0,755.0,39.2,1912.0,1950.0,104000.0
1140.0,0.0,3.0,No,0.0,Unf,1140.0,0.0,0.0,None,1963.0,1140.0,TA,17217.0,90.0,0.0,56.0,5.0,5.0,1140.0,65.6,2006.0,2006.0,84500.0
1464.0,0.0,3.0,Av,444.0,ALQ,76.0,0.0,480.0,RFn,1997.0,1464.0,TA,12886.0,70.0,0.0,0.0,6.0,5.0,520.0,44.0,1963.0,1999.0,175000.0
1617.0,0.0,2.0,No,165.0,LwQ,598.0,0.0,533.0,Unf,1993.0,1617.0,Gd,8012.0,50.0,0.0,69.0,5.0,6.0,1604.0,148.6,1993.0,1994.0,193000.0
960.0,0.0,3.0,No,520.0,Rec,440.0,65.6,432.0,Fin,1965.0,960.0,TA,10921.0,73.0,48.0,0.0,5.0,4.0,960.0,65.6,1965.0,1965.0,94750.0
725.0,754.0,4.0,No,626.0,ALQ,99.0,0.0,484.0,Fin,1972.0,1479.0,Gd,7472.0,63.2,138.0,32.0,9.0,7.0,725.0,0.0,1972.0,2004.0,184000.0
774.0,1194.0,4.0,No,0.0,Unf,774.0,28.8,680.0,Fin,2009.0,1968.0,Ex,12003.0,92.0,84.0,75.0,5.0,8.0,774.0,236.4,2009.0,2010.0,269500.0
1734.0,0.0,3.0,Av,1300.0,GLQ,434.0,28.8,660.0,Unf,2005.0,1734.0,Gd,11645.0,78.0,0.0,24.0,5.0,7.0,1734.0,224.6,2005.0,2005.0,260000.0
1013.0,0.0,2.0,No,0.0,Unf,1013.0,158.6,0.0,None,1939.0,1526.0,Fa,8470.0,105.0,0.0,0.0,2.0,3.0,1013.0,65.6,1915.0,1982.0,85000.0
1028.0,112.8,2.0,No,0.0,Unf,1008.0,0.0,360.0,Unf,1927.0,1028.0,TA,8960.0,56.0,0.0,0.0,6.0,5.0,1008.0,39.2,1927.0,1950.0,115000.0
1196.0,0.0,2.0,No,616.0,LwQ,580.0,0.0,297.0,RFn,1956.0,1196.0,TA,9000.0,72.0,74.0,44.0,5.0,6.0,1196.0,181.4,1956.0,1956.0,139000.0
1144.0,0.0,3.0,Av,748.0,LwQ,102.0,0.0,796.0,RFn,1959.0,1144.0,TA,8163.0,70.0,128.0,0.0,6.0,5.0,1144.0,116.8,1959.0,1959.0,143000.0
1644.0,0.0,2.0,Gd,1518.0,GLQ,0.0,0.0,569.0,Fin,1989.0,1644.0,Gd,12800.0,75.2,145.0,0.0,5.0,7.0,1518.0,237.4,1989.0,1989.0,275000.0
864.0,0.0,3.0,No,553.0,Rec,0.0,75.4,360.0,Unf,1965.0,864.0,TA,8281.0,60.0,0.0,0.0,5.0,5.0,864.0,0.0,1965.0,1965.0,62383.0
1980.0,0.0,3.0,Av,1447.0,GLQ,533.0,0.0,770.0,Fin,2004.0,1980.0,Ex,16737.0,129.0,66.0,45.0,5.0,9.0,1980.0,186.6,2004.0,2005.0,315000.0
1350.0,0.0,3.0,Gd,624.0,GLQ,288.0,0.0,520.0,RFn,1964.0,1350.0,TA,9020.0,82.0,259.0,0.0,5.0,6.0,1248.0,24.0,1964.0,1964.0,168500.0
970.0,739.0,3.0,No,0.0,Unf,970.0,0.0,380.0,Unf,2004.0,1709.0,Gd,2522.0,24.0,50.0,40.0,5.0,7.0,970.0,96.6,2004.0,2004.0,137500.0
1314.0,0.0,3.0,No,24.0,GLQ,1290.0,0.0,440.0,RFn,2006.0,1314.0,Gd,9317.0,78.0,0.0,22.0,5.0,6.0,1314.0,64.0,2006.0,2006.0,176432.0
576.0,533.0,3.0,Av,349.0,ALQ,23.0,0.0,288.0,Unf,1971.0,1109.0,TA,10500.0,70.0,82.0,0.0,7.0,5.0,372.0,154.2,1971.0,2005.0,139000.0
1389.0,0.0,2.0,Av,1071.0,ALQ,195.0,0.0,418.0,RFn,1975.0,1389.0,TA,10010.0,77.0,0.0,38.0,5.0,5.0,1389.0,24.0,1974.0,1975.0,170000.0
480.0,0.0,2.0,Av,50.0,BLQ,430.0,75.4,308.0,Fin,1958.0,480.0,TA,9000.0,50.0,0.0,0.0,3.0,2.0,480.0,0.0,1949.0,1950.0,35311.0
789.0,0.0,2.0,No,104.0,ALQ,516.0,0.0,250.0,Unf,1948.0,789.0,TA,6000.0,50.0,0.0,0.0,5.0,5.0,789.0,39.2,1948.0,1950.0,115000.0
1405.0,0.0,2.0,No,0.0,Unf,1405.0,0.0,478.0,RFn,2003.0,1405.0,Gd,3136.0,42.2,163.0,36.0,5.0,7.0,1405.0,105.4,2003.0,2003.0,171750.0
1412.0,0.0,3.0,Mn,1005.0,GLQ,387.0,0.0,576.0,Unf,1988.0,1412.0,Gd,11457.0,130.0,0.0,0.0,5.0,6.0,1392.0,44.0,1988.0,1988.0,175000.0
1541.0,0.0,3.0,Mn,1201.0,LwQ,340.0,88.0,532.0,Fin,2005.0,1541.0,Gd,12182.0,95.0,226.0,70.0,5.0,7.0,1541.0,73.2,2005.0,2005.0,220000.0
900.0,0.0,3.0,No,450.0,BLQ,432.0,48.8,280.0,Unf,1970.0,900.0,TA,9819.0,77.8,31.0,0.0,5.0,5.0,882.0,0.0,1967.0,1967.0,122000.0
949.0,272.0,4.0,No,392.0,BLQ,392.0,27.6,392.0,Unf,1965.0,1221.0,TA,9738.0,60.0,0.0,0.0,7.0,5.0,784.0,39.2,1924.0,1950.0,104900.0
1186.0,800.0,3.0,No,454.0,BLQ,314.0,37.0,486.0,Unf,1965.0,1986.0,TA,13600.0,85.0,176.0,42.0,6.0,7.0,768.0,87.8,1965.0,1990.0,205000.0
757.0,306.6,2.0,No,549.0,ALQ,195.0,0.0,440.0,Unf,1999.0,1501.0,TA,2280.0,24.0,360.0,0.0,5.0,7.0,744.0,20.0,1999.0,1999.0,179400.0
912.0,0.0,3.0,Mn,832.0,GLQ,80.0,0.0,288.0,RFn,1962.0,912.0,Gd,6768.0,65.0,0.0,0.0,8.0,6.0,912.0,116.8,1961.0,1996.0,142000.0
788.0,702.0,3.0,Av,724.0,GLQ,64.0,29.0,388.0,Fin,2004.0,1490.0,Gd,15384.0,60.0,0.0,75.0,5.0,7.0,788.0,101.6,2004.0,2005.0,184000.0
936.0,840.0,3.0,None,0.0,Unf,936.0,29.0,474.0,RFn,2002.0,1776.0,Gd,14006.0,65.0,144.0,96.0,5.0,7.0,936.0,85.8,2002.0,2002.0,192500.0
796.0,0.0,2.0,No,0.0,Unf,796.0,158.6,0.0,None,1939.0,796.0,TA,8777.0,67.0,0.0,0.0,7.0,5.0,796.0,328.0,1910.0,1950.0,85000.0
796.0,550.0,2.0,No,0.0,Unf,560.0,0.0,384.0,Unf,1950.0,1346.0,TA,11767.0,70.0,0.0,24.0,7.0,4.0,560.0,39.2,1910.0,2000.0,112000.0
